Tipo de material;Meio de divulgação;Entidade;Tipo de organização;Autor;Título;Palavras-chave ou descritores;Ano da produção;Ano da publicação;Edição;Local de publicação;Editora;Número de páginas/minutos;Disponível em;ISBN;ISSN
legislação;site;Secretaria Especial dos Direitos Humanos;governamental;O Conselho das Autoridades Centrais Brasileiras;Convenção Relativa à Proteção das Crianças e à Cooperação em Matéria de Adoção Internacional ;Crianças, adoção, internacional;09 de maio de 2008;21 de desembro de 2009;243;Diário Oficial da União;Imprensa Nacional;1;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=21/12/2009;978-85-87433-09-1;1677-7042
legislação;site;ONU;governamental;United Nations Information Centre-Rio de Janeiro;Declaração das Nações Unidas sobre os Direitos dos Povos Indígenas;Direitos, povos;13 de setembro de 2007;março de 2008;;UNIC;blah;22;http://www.funai.gov.br/arquivos/conteudo/cogedi/pdf/LEGISLACAO_INDIGENISTA/Legislacao-Fundamental/ONU-13-09-2007.pdf;s;a
